ID,occurrenceID,catalogNumber,otherCatalogNumbers,NEON_ID,Absorbance,Slope ,Intercept,ppm_P,mg P_g litter,percent_P,percent_C,percent_N,CN,13C,15N,plotID,decimalLatitude,decimalLongitude
22,NEON011AR,NEON011AR,NEON sampleCode (barcode): B00000061747; NEON sampleID: NEON.ltr.UNDE049.20191007.lvs.ar,476780,0.55466667,0.0508,0.1402,8.15879265,0.407939633,0.00040794,48.95,0.98,49.9,-28.6,-1.4,UNDE_049,46.230581,-89.536457
23,NEON011AU,NEON011AU,NEON sampleCode (barcode): B00000061762; NEON sampleID: NEON.ltr.UNDE057.20191007.lvs.ar,476787,0.71333333,0.0508,0.1402,11.2821522,0.56410761,0.000564108,49.74,0.92,52.8,-30.2,-2.6,UNDE_057,46.2343,-89.540921
24,NEON02C25,NEON02C25,NEON sampleCode (barcode): A00000145783; NEON sampleID: NEON.ltr.DELA040.20191118.lvs.ar,665416,2.412,0.0508,0.1402,44.7204724,2.23602362,0.002236024,48.35,1.32,36.5,-29.2,2.2,DELA_040,32.53881,-87.804512
25,NEON02C26,NEON02C26,NEON sampleCode (barcode): A00000145774; NEON sampleID: NEON.ltr.DELA041.20191118.lvs.ar,665417,1.925,0.0508,0.1402,35.1338583,1.756692915,0.001756693,48.15,0.99,48.5,-29.2,1.5,DELA_041,32.540703,-87.807742
26,NEON02C27,NEON02C27,NEON sampleCode (barcode): A00000145757; NEON sampleID: NEON.ltr.DELA042.20191118.lvs.ar,665418,1.46025,0.0508,0.1402,25.9852362,1.29926181,0.001299262,46.44,1.2,38.9,-30.6,-0.5,DELA_042,32.541787,-87.805204
27,NEON02C28,NEON02C28,NEON sampleCode (barcode): A00000145707; NEON sampleID: NEON.ltr.DELA043.20191118.lvs.ar,665419,1.49833333,0.0508,0.1402,26.7349081,1.336745405,0.001336745,46.69,1.22,38.2,-29.3,1,DELA_043,32.540689,-87.806192
28,NEON02C2C,NEON02C2C,NEON sampleCode (barcode): A00000145782; NEON sampleID: NEON.ltr.DELA047.20191118.lvs.ar,665423,1.36733333,0.0508,0.1402,24.156168,1.2078084,0.001207808,47.9,1.2,39.9,-30,2.2,DELA_047,32.539653,-87.800371
29,NEON01172,NEON01172,NEON sampleCode (barcode): A00000044755; NEON sampleID: NEON.ltr.MLBS075.20181009.lvs.ar,244655,1.473,0.0508,0.1402,26.2362205,1.311811025,0.001311811,52.06,1.42,36.8,-28.5,-2.4,MLBS_075,37.377761,-80.524585
30,NEON01173,NEON01173,NEON sampleCode (barcode): A00000044752; NEON sampleID: NEON.ltr.MLBS074.20181009.lvs.ar,244656,1.578,0.0508,0.1402,28.3031496,1.41515748,0.001415157,50.39,1.1,45.9,-28.4,-1.7,MLBS_074,37.377761,-80.524585
31,NEON01174,NEON01174,NEON sampleCode (barcode): A00000044749; NEON sampleID: NEON.ltr.MLBS073.20181009.lvs.ar,244657,1.45666667,0.0508,0.1402,25.9146982,1.29573491,0.001295735,51.06,1.07,47.8,-28.2,-2.3,MLBS_073,37.378011,-80.525919
32,NEON0117A,NEON0117A,NEON sampleCode (barcode): A00000044729; NEON sampleID: NEON.ltr.MLBS067.20181009.lvs.ar,244663,1.231,0.0508,0.1402,21.4724409,1.073622045,0.001073622,51.27,1.16,44.2,-29.1,-3,MLBS_067,37.37856,-80.52727
33,NEON0117E,NEON0117E,NEON sampleCode (barcode): A00000044718; NEON sampleID: NEON.ltr.MLBS063.20181009.lvs.ar,244667,1.968,0.0508,0.1402,35.980315,1.79901575,0.001799016,50.55,1.35,37.4,-28.2,-3.1,MLBS_063,37.37556,-80.520162
34,NEON02HZ0,NEON02HZ0,NEON sampleCode (barcode): A00000106506; NEON sampleID: NEON.ltr.WREF070.20190924.ndl.ar,730537,0.82166667,0.0508,0.1402,13.4146982,0.67073491,0.000670735,52.68,0.48,109.2,-29.8,-5.9,WREF_070,45.823126,-121.958667
35,NEON02HZ3,NEON02HZ3,NEON sampleCode (barcode): A00000106497; NEON sampleID: NEON.ltr.WREF077.20190924.ndl.ar,730540,1.22,0.0508,0.1402,21.2559055,1.062795275,0.001062795,53.05,0.41,129.4,-30.1,-7.5,WREF_077,45.826901,-121.958225
36,NEON02HZ4,NEON02HZ4,NEON sampleCode (barcode): A00000106493; NEON sampleID: NEON.ltr.WREF075.20190924.ndl.ar,730541,1.01866667,0.0508,0.1402,17.2926509,0.864632545,0.000864633,53.68,0.49,109.6,-29.9,-5.6,WREF_075,45.822925,-121.960577
37,NEON02HZA,NEON02HZA,NEON sampleCode (barcode): A00000106526; NEON sampleID: NEON.ltr.WREF089.20190924.ndl.ar,730547,0.88366667,0.0508,0.1402,14.6351706,0.73175853,0.000731759,54.13,0.4,134.3,-30,-7.5,WREF_089,45.822925,-121.960577
38,NEON02HZD,NEON02HZD,NEON sampleCode (barcode): A00000106523; NEON sampleID: NEON.ltr.WREF086.20190924.ndl.ar,730550,0.86,0.0508,0.1402,14.1692913,0.708464565,0.000708465,54.14,0.4,135.1,-30.1,-6.7,WREF_086,45.822279,-121.957115
39,NEON011B3,NEON011B3,NEON sampleCode (barcode): A00000026745; NEON sampleID: NEON.ltr.SJER047.20191007.ndl.ar,481265,0.80966667,0.0508,0.1402,13.1784777,0.658923885,0.000658924,52.32,0.9,58.4,-27.5,-2.7,SJER_047,37.101659,-119.734563
40,NEON011B4,NEON011B4,NEON sampleCode (barcode): A00000098102; NEON sampleID: NEON.ltr.SJER052.20191007.lvs.ar,481266,1.22833333,0.0508,0.1402,21.4199475,1.070997375,0.001070997,47.43,1.03,46.1,-27.6,-2.7,SJER_052,37.109472,-119.723712
41,NEON011B5,NEON011B5,NEON sampleCode (barcode): A00000026775; NEON sampleID: NEON.ltr.SJER054.20191007.lvs.ar,481267,1.21633333,0.0508,0.1402,21.183727,1.05918635,0.001059186,45.4,1.37,33.1,-28.6,-2.5,SJER_054,37.116299,-119.732736
42,NEON011B8,NEON011B8,NEON sampleCode (barcode): A00000026756; NEON sampleID: NEON.ltr.SJER058.20191007.lvs.ar,481270,1.14766667,0.0508,0.1402,19.832021,0.99160105,0.000991601,52.03,0.49,106.8,-25.7,-2.6,SJER_058,37.104331,-119.735693
43,NEON011B9,NEON011B9,NEON sampleCode (barcode): A00000026727; NEON sampleID: NEON.ltr.SJER063.20191007.lvs.ar,481271,1.59033333,0.0508,0.1402,28.5459318,1.42729659,0.001427297,46.51,1.08,42.9,-28.3,-2.3,SJER_063,37.110752,-119.738942
44,NEON02HZI,NEON02HZI,NEON sampleCode (barcode): A00000102057; NEON sampleID: NEON.ltr.BONA093.20190917.ndl.ar,733224,1.22566667,0.0508,0.1402,21.3674541,1.068372705,0.001068373,50.52,0.34,148,-30.1,-7,BONA_093,65.155786,-147.504653
45,NEON02HZJ,NEON02HZJ,NEON sampleCode (barcode): A00000102018; NEON sampleID: NEON.ltr.BONA093.20190917.lvs.ar,733225,3.55566667,0.0508,0.1402,74.12971667,3.706485833,0.003706486,50.15,0.89,56.2,-29,-2.7,BONA_093,65.155786,-147.504653
46,NEON02HZO,NEON02HZO,NEON sampleCode (barcode): A00000102006; NEON sampleID: NEON.ltr.BONA084.20190917.lvs.ar,733230,2.53,0.0508,0.1402,47.0433071,2.352165355,0.002352165,49.86,0.98,50.7,-29.4,-7.1,BONA_084,65.155247,-147.512957
47,NEON02HZT,NEON02HZT,NEON sampleCode (barcode): A00000102032; NEON sampleID: NEON.ltr.BONA076.20190917.ndl.ar,733235,1.87433333,0.0508,0.1402,34.1364829,1.706824145,0.001706824,50.11,0.24,208.7916667,-29.5,-4,BONA_076,65.155812,-147.502084
48,NEON02HZU,NEON02HZU,NEON sampleCode (barcode): A00000101985; NEON sampleID: NEON.ltr.BONA075.20190917.lvs.ar,733236,2.92333333,0.0508,0.1402,53.61525,2.6807625,0.002680763,51.14,1,51.2,-29.2,-3.3,BONA_075,65.158209,-147.507859
49,NEON02HZW,NEON02HZW,NEON sampleCode (barcode): A00000102023; NEON sampleID: NEON.ltr.BONA071.20190917.ndl.ar,733238,0.82833333,0.0508,0.1402,13.5459318,0.67729659,0.000677297,50.47,0.31,162.8064516,-28.8,-5.4,BONA_071,65.154979,-147.507196
50,NEON02I01,NEON02I01,NEON sampleCode (barcode): A00000031981; NEON sampleID: NEON.ltr.PUUM044.20181022.lvs.ar,735569,0.54966667,0.0508,0.1402,8.06036745,0.403018373,0.000403018,51.81,0.67,77.32835821,-29.7,-6.1,PUUM_044,19.552827,-155.321465
51,NEON02I04,NEON02I04,NEON sampleCode (barcode): A00000031971; NEON sampleID: NEON.ltr.PUUM040.20181022.lvs.ar,735572,0.64633333,0.0508,0.1402,9.96325459,0.49816273,0.000498163,52.92,1.41,37.53191489,-30,-1.6,PUUM_040,19.552827,-155.319745
52,NEON02I06,NEON02I06,NEON sampleCode (barcode): A00000031998; NEON sampleID: NEON.ltr.PUUM036.20181022.lvs.ar,735574,0.49933333,0.0508,0.1402,7.06955381,0.353477691,0.000353478,52.56,0.71,74.02816901,-29.7,-4.3,PUUM_036,19.554406,-155.323212
53,NEON02I07,NEON02I07,NEON sampleCode (barcode): A00000031974; NEON sampleID: NEON.ltr.PUUM033.20181022.lvs.ar,735575,0.295,0.0508,0.1402,3.04724409,0.152362205,0.000152362,52.83,0.3,176.1,-29.5,-10.3,PUUM_033,19.551459,-155.319443
54,NEON02I08,NEON02I08,NEON sampleCode (barcode): A00000032015; NEON sampleID: NEON.ltr.PUUM031.20181022.lvs.ar,735576,0.599,0.0508,0.1402,9.03149606,0.451574803,0.000451575,51.2,1.18,43.38983051,-29.3,-2,PUUM_031,19.553624,-155.319191
55,NEON00ZD6,NEON00ZD6,NEON sampleID: BBC.HARV033007.20180806.2-10.POOL.AR; NEON sampleCode (barcode): D00000035029,241759,1.48733333,0.0508,0.1402,24.76701031,1.238350515,0.001238351,48.55,0.44,110.3409091,-28,0.2,HARV_033,42.53831,-72.175606
56,NEON00ZD7,NEON00ZD7,NEON sampleID: BBC.HARV033007.20180806.0-05.POOL.AR; NEON sampleCode (barcode): D00000035024,241760,0.962,0.0508,0.1402,16.1771654,0.80885827,0.000808858,52.58,0.98,53.4,-30.1,-0.9,HARV_033,42.53831,-72.175606
57,NEON00ZD0,NEON00ZD0,NEON sampleCode (barcode): A00000032470; NEON sampleID: BBC.HARV034669.20180801.2-10.POOL.AR,241753,0.88966667,0.0508,0.1402,13.96975945,0.698487973,0.000698488,46.28,0.37,125.0810811,-29.2,-1.8,HARV_034,42.535693,-72.177962
58,NEON00ZD1,NEON00ZD1,NEON sampleCode (barcode): A00000032481; NEON sampleID: BBC.HARV034669.20180801.0-05.POOL.AR,241754,1.29766667,0.0508,0.1402,22.7847769,1.139238845,0.001139239,49.21,1.12,43.9375,-28.5,-1.5,HARV_034,42.535693,-72.177962
59,NEON00ZCY,NEON00ZCY,NEON sampleID: BBC.HARV035188.20180723.2-10.POOL.AR; NEON sampleCode (barcode): D00000008510,241751,1.29233333,0.0508,0.1402,22.67979,1.1339895,0.00113399,49.51,0.47,105.3404255,-29.1,-4,HARV_035,42.539971,-72.178087
60,NEON00ZCZ,NEON00ZCZ,NEON sampleID: BBC.HARV035188.20180723.0-05.POOL.AR; NEON sampleCode (barcode): D00000008506,241752,1.32233333,0.0508,0.1402,22.38213058,1.119106529,0.001119107,50.06,1.06,47.3,-27.7,-2.8,HARV_035,42.539971,-72.178087
61,NEON00ZCM,NEON00ZCM,NEON sampleCode (barcode): A00000032520; NEON sampleID: BBC.HARV039780.20180730.2-10.POOL.AR,241739,1.21433333,0.0508,0.1402,19.30309278,0.965154639,0.000965155,49.31,0.48,102.7291667,-28.7,-1.7,HARV_039,42.533244,20
62,NEON00ZCN,NEON00ZCN,NEON sampleCode (barcode): A00000032525; NEON sampleID: BBC.HARV039780.20180730.0-05.POOL.AR,241740,1.30633333,0.0508,0.1402,22.9553806,1.14776903,0.001147769,52.88,1.06,49.88679245,-29.8,-2.5,HARV_039,42.533244,20
63,NEON00ZDG,NEON00ZDG,NEON sampleCode (barcode): A00000032463; NEON sampleID: BBC.HARV051264.20180801.2-10.POOL.AR,241769,0.85733333,0.0508,0.1402,14.1167979,0.705839895,0.00070584,49.57,0.34,145.7941176,-28.4,-1.4,HARV_051,42.53409,-72.179145
64,NEON00ZDJ,NEON00ZDJ,NEON sampleCode (barcode): A00000032459; NEON sampleID: BBC.HARV051264.20180801.0-05.POOL.AR,241772,0.79533333,0.0508,0.1402,12.8963255,0.644816275,0.000644816,51.63,1.08,47.9,-29.2,-0.9,HARV_051,42.53409,-72.179145
65,NEON00ZNW,NEON00ZNW,NEON sampleID: BBC.SCBI045171.20170911.2-10.POOL.AR,246739,1.28466667,0.0508,0.1402,22.5288714,1.12644357,0.001126444,45.52,0.46,98.6,-28.4,-0.7,SCBI_045,38.890566,-78.139431
66,NEON00ZNX,NEON00ZNX,NEON sampleID: BBC.SCBI045171.20170911.05-1.POOL.AR,246740,2.20166667,0.0508,0.1402,40.5800525,2.029002625,0.002029003,44.975,2.015,22.3,-27.6,1.2,SCBI_045,38.890566,-78.139431
67,NEON00ZMT,NEON00ZMT,NEON sampleID: BBC.SCBI062344.20170821.2-10.POOL.AR,246700,2.054,0.0508,0.1402,37.6732283,1.883661415,0.001883661,45.56,0.66,68.6,-28.3,-2.3,SCBI_062,38.889773,-78.140518
68,NEON00ZMU,NEON00ZMU,NEON sampleID: BBC.SCBI062344.20170821.05-1.POOL.AR,246701,1.562,0.0508,0.1402,27.988189,1.39940945,0.001399409,42.84,1.48,28.9,-28.9,-0.6,SCBI_062,38.890803,-78.137674
69,NEON00ZNL,NEON00ZNL,NEON sampleID: BBC.SCBI048596.20170905.2-10.POOL.AR,246728,0.811,0.0508,0.1402,13.2047244,0.66023622,0.000660236,47.44,0.87,54.2,-28.6,-0.7,SCBI_048,38.892469,-78.140415
70,NEON00ZNM,NEON00ZNM,NEON sampleID: BBC.SCBI048596.20170905.05-1.POOL.AR,246729,1.46166667,0.0508,0.1402,26.0131234,1.30065617,0.001300656,40.33,1.9,21.2,-28.7,0.8,SCBI_048,38.892469,-78.140415
71,NEON00ZNN,NEON00ZNN,NEON sampleID: BBC.SCBI047654.20170913.2-10.POOL.AR,246730,0.829,0.0508,0.1402,13.5590551,0.677952755,0.000677953,46.66,0.66,70.5,-29,-2.2,SCBI_047,38.893934,-78.135517
72,NEON00ZNO,NEON00ZNO,NEON sampleID: BBC.SCBI047654.20170913.05-1.POOL.AR,246731,1.511,0.0508,0.1402,26.984252,1.3492126,0.001349213,43.62,1.61,27.15,-29.15,-0.4,SCBI_047,38.893934,-78.135517
73,NEON00ZNR,NEON00ZNR,NEON sampleID: BBC.SCBI046153.20170823.2-10.POOL.AR,246734,0.807,0.0508,0.1402,13.1259843,0.656299215,0.000656299,45.55,0.46,98.8,-26.9,-0.7,SCBI_046,38.895117,-78.138236
74,NEON00ZNT,NEON00ZNT,NEON sampleID: BBC.SCBI046153.20170823.05-1.POOL.AR,246736,1.17866667,0.0508,0.1402,20.4422572,1.02211286,0.001022113,45.24,1.23,36.7,-28.7,0.1,SCBI_046,38.889714,-78.138472
75,NEON00ZJ9,NEON00ZJ9,NEON sampleCode (barcode): A00000039208; NEON sampleID: BBC.GUAN045943.20181024.2-10.POOL.AR,244888,0.376,0.0508,0.1402,4.64173228,0.232086614,0.000232087,44.18,0.64,68.9,-26.8,0.3,GUAN_045,17.969212,-66.873903
76,NEON00ZJB,NEON00ZJB,NEON sampleCode (barcode): A00000039219; NEON sampleID: BBC.GUAN045943.20181024.05-1.POOL.AR,244890,0.50833333,0.0508,0.1402,7.24671916,0.362335958,0.000362336,45.67,1.13,40.3,-27.2,1.3,GUAN_045,17.969212,-66.873903
77,NEON00ZL1,NEON00ZL1,NEON sampleCode (barcode): A00000039210; NEON sampleID: BBC.GUAN047885.20181101.2-10.POOL.AR,244972,0.57633333,0.0508,0.1402,8.58530184,0.429265092,0.000429265,44.15,0.89,49.5,-26.7,-0.5,GUAN_047,17.973185,-66.866786
78,NEON00ZL3,NEON00ZL3,NEON sampleCode (barcode): A00000039196; NEON sampleID: BBC.GUAN047885.20181101.0-05.POOL.AR,244974,0.77133333,0.0508,0.1402,12.4238845,0.621194225,0.000621194,45.55,1.63,28,-26.7,-0.1,GUAN_047,17.973185,-66.866786
79,NEON00ZKX,NEON00ZKX,NEON sampleCode (barcode): A00000039503; NEON sampleID: BBC.GUAN049386.20181101.2-10.POOL.AR,244968,0.49966667,0.0508,0.1402,7.07611549,0.353805775,0.000353806,45.56,1.21,37.8,-26.5,2.3,GUAN_049,17.967743,-66.8643
80,NEON00ZKZ,NEON00ZKZ,NEON sampleCode (barcode): A00000039470; NEON sampleID: BBC.GUAN049386.20181101.05-1.POOL.AR,244970,0.63066667,0.0508,0.1402,8.95257732,0.447628866,0.000447629,47.375,2.15,22.9,-26.9,1.55,GUAN_049,17.967743,-66.8643
81,NEON00ZK8,NEON00ZK8,NEON sampleCode (barcode): A00000039206; NEON sampleID: BBC.GUAN056036.20181023.2-10.POOL.AR,244943,0.29533333,0.0508,0.1402,3.05380577,0.152690289,0.00015269,47.19,0.58,81.36206897,-28.2,0.5,GUAN_056,17.971008,-66.865387
82,NEON00ZKA,NEON00ZKA,NEON sampleCode (barcode): A00000039683; NEON sampleID: BBC.GUAN056036.20181023.05-1.POOL.AR,244945,0.444,0.0508,0.1402,5.529897,0.27649485,0.000276495,47.37,0.97,49,-28.4,1.1,GUAN_056,17.971008,-66.865387
83,NEON00ZK2,NEON00ZK2,NEON sampleCode (barcode): A00000039423; NEON sampleID: BBC.GUAN057607.20181030.2-10.POOL.AR,244937,0.38366667,0.0508,0.1402,4.79265092,0.239632546,0.000239633,45.89,0.91,50.5,-26.8,1.7,GUAN_057,17.96857,-66.865136
84,NEON00ZK4,NEON00ZK4,NEON sampleCode (barcode): A00000039405; NEON sampleID: BBC.GUAN057607.20181030.05-1.POOL.AR,244939,0.569,0.0508,0.1402,7.811683849,0.390584192,0.000390584,39.66,1.39,28.5,-27.2,1.9,GUAN_057,17.96857,-66.865136
85,NEON01013,NEON01013,NEON sampleCode (barcode): A00000077928; NEON sampleID: BBC.UNDE037620.20190812.0-1.POOL.AR,481043,0.93933333,0.0508,0.1402,15.0419244,0.75209622,0.000752096,48.06,1.06,45.5,-29.2,-1.4,UNDE_037,46.231276,-89.541941
86,NEON01015,NEON01015,NEON sampleCode (barcode): A00000077927; NEON sampleID: BBC.UNDE037620.20190812.2-10.POOL.AR,481045,0.72866667,0.0508,0.1402,11.3580756,0.56790378,0.000567904,46.98,0.46,102.3,-28.4,-1.6,UNDE_037,46.231276,-89.541941
87,NEON01019,NEON01019,NEON sampleCode (barcode): A00000077977; NEON sampleID: BBC.UNDE043415.20190813.0-1.POOL.AR,481049,1.03566667,0.0508,0.1402,17.60549828,0.880274914,0.000880275,49.99,0.97,51.8,-29.6,0.7,UNDE_043,46.234247,-89.542459
88,NEON0101B,NEON0101B,NEON sampleCode (barcode): A00000077947; NEON sampleID: BBC.UNDE043415.20190813.2-10.POOL.AR,481051,0.802,0.0508,0.1402,13.0275591,0.651377955,0.000651378,49.52,0.45,110.1,-29.6,-0.9,UNDE_043,46.234247,-89.542459
89,NEON02C2Y,NEON02C2Y,NEON sampleCode (barcode): A00000078272; NEON sampleID: BBC.UNDE048632.20190812.0-1.POOL.AR,665441,0.98633333,0.0508,0.1402,16.656168,0.8328084,0.000832808,48.73,1.05,46.3,-28.6,0,UNDE_048,46.232136,-89.540445
90,NEON02C30,NEON02C30,NEON sampleCode (barcode): A00000078264; NEON sampleID: BBC.UNDE048632.20190812.2-10.POOL.AR,665443,0.69166667,0.0508,0.1402,10.855643,0.54278215,0.000542782,48.79,0.55,89.4,-29.2,-1.8,UNDE_048,46.232136,-89.540445
91,NEON0101M,NEON0101M,NEON sampleCode (barcode): A00000077938; NEON sampleID: BBC.UNDE049136.20190820.0-1.POOL.AR,481062,1.13633333,0.0508,0.1402,19.6089239,0.980446195,0.000980446,44.98,1.57,28.7,-30.9,-0.1,UNDE_049,46.230581,-89.536457
92,NEON0101N,NEON0101N,NEON sampleCode (barcode): A00000077936; NEON sampleID: BBC.UNDE049136.20190820.2-10.POOL.AR,481063,0.68666667,0.0508,0.1402,10.7572178,0.53786089,0.000537861,44.79,0.97,46,-29.7,-0.1,UNDE_049,46.230581,-89.536457
93,NEON02C3L,NEON02C3L,NEON sampleCode (barcode): A00000079044; NEON sampleID: BBC.UNDE057191.20190813.0-1.POOL.AR,665464,0.944,0.0508,0.1402,15.8228346,0.79114173,0.000791142,48.88,1.18,41.6,-27.9,-2,UNDE_057,46.2343,-89.540921
94,NEON02C3M,NEON02C3M,NEON sampleCode (barcode): A00000079042; NEON sampleID: BBC.UNDE057191.20190813.2-10.POOL.AR,665465,0.447,0.0508,0.1402,6.03937008,0.301968504,0.000301969,50.01,0.64,78.1,-27.3,-2.2,UNDE_057,46.2343,-89.540921
95,NEON00ZUY,NEON00ZUY,NEON sampleCode (barcode): A00000083805; NEON sampleID: BBC.DELA040291.20190716.0-1.POOL.AR,394477,1.87,0.0508,0.1402,34.0511811,1.702559055,0.001702559,43.07,1.27,33.8,-29.2,3.7,DELA_040,32.53881,-87.804512
96,NEON00ZV0,NEON00ZV0,NEON sampleCode (barcode): A00000083771; NEON sampleID: BBC.DELA040291.20190716.2-10.POOL.AR,394479,1.52266667,0.0508,0.1402,27.2139108,1.36069554,0.001360696,44.23,0.55,80.9,-28.1,2.6,DELA)040,32.53881,-87.804512
97,NEON00ZV1,NEON00ZV1,NEON sampleCode (barcode): A00000083840; NEON sampleID: BBC.DELA041044.20190729.0-1.POOL.AR,394480,1.416,0.0508,0.1402,25.1141732,1.25570866,0.001255709,47.36,1.16,40.7,-28.7,4.9,DELA_041,32.540703,-87.807742
